Pick,Player,Position,Round,Manager,Team
136,Harrison Butker,K,17,Buffalo Brown AshPandas,KC
137,Saints D/ST,D/ST,18,Buffalo Brown AshPandas,NO
7,Ja'Marr Chase,WR,1,Gentle Minyans,CIN
10,Justin Herbert,QB,2,Gentle Minyans,LAC
23,Nick Chubb,RB,3,Gentle Minyans,CLE
26,Josh Jacobs,RB,4,Gentle Minyans,LV
39,T.J. Hockenson,TE,5,Gentle Minyans,MIN
42,Deebo Samuel,WR,6,Gentle Minyans,SF
55,Dak Prescott,QB,7,Gentle Minyans,DAL
58,Diontae Johnson,WR,8,Gentle Minyans,PIT
71,Mike Evans,WR,9,Gentle Minyans,TB
74,Terry McLaurin,WR,10,Gentle Minyans,WSH
87,Isiah Pacheco,RB,11,Gentle Minyans,KC
90,49ers D/ST,D/ST,12,Gentle Minyans,SF
103,Derek Carr,QB,13,Gentle Minyans,CAR
106,Jakobi Meyers,WR,14,Gentle Minyans,LV
119,Rashaad Penny,RB,15,Gentle Minyans,PHI
122,Pat Freiermuth,TE,16,Gentle Minyans,PIT
135,Odell Beckham Jr.,WR,17,Gentle Minyans,BAL
138,Daniel Carlson,K,18,Gentle Minyans,CAR
1,Patrick Mahomes,QB,1,Baby Chargers,KC
16,Tony Pollard,RB,2,Baby Chargers,LAR
17,Amon-Ra St. Brown,WR,3,Baby Chargers,DET
32,Keenan Allen,WR,4,Baby Chargers,LAC
33,DeVonta Smith,WR,5,Baby Chargers,PHI
49,Geno Smith,QB,7,Baby Chargers,NO
56,Mike Williams,WR,7,Baby Chargers,LAC
57,Tyler Lockett,WR,8,Baby Chargers,SEA
64,Alexander Mattison,RB,8,Baby Chargers,MIN
65,Rachaad White,RB,9,Baby Chargers,TB
80,Russell Wilson,QB,10,Baby Chargers,DEN
96,Jordan Addison,WR,12,Baby Chargers,MIN
97,Antonio Gibson,RB,13,Baby Chargers,WSH
112,Quentin Johnston,WR,14,Baby Chargers,LAC
113,Samaje Perine,RB,15,Baby Chargers,NE
128,Dalton Schultz,TE,16,Baby Chargers,DAL
132,Cameron Dicker,K,17,Baby Chargers,LAC
141,Commanders D/ST,D/ST,18,Baby Chargers,WSH
