"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Teddy Bridgewater","DET","50.7","27.8","319.4","1.2","1.5","4.1","12.6","0.1","0.2","17.8"
"Nick Mullens","MIN","35.6","26.3","290.3","1.9","1.9","3.8","8.1","0.1","0.6","17.4"
"C.J. Beathard","JAC","47.0","27.4","303.1","1.5","2.8","11.1","19.3","0.1","0.5","16.7"
"Jameis Winston","NO","30.8","20.7","261.3","1.5","1.1","3.2","8.9","0.1","0.2","16.7"
"Drew Lock","SEA","45.0","24.9","292.8","1.6","2.6","4.6","14.7","0.1","0.5","16.5"
"Cooper Rush","DAL","30.0","18.8","241.4","1.5","1.1","2.9","6.6","0.1","0.2","15.3"
"Trey Lance","DAL","67.7","40.8","307.7","0.4","2.0","14.2","34.0","0.1","0.5","14.7"
"Easton Stick","LAC","19.1","12.1","197.1","1.8","3.3","18.7","23.5","0.2","0.6","13.9"
"Aidan O'Connell","LV","69.1","41.1","310.8","0.5","2.5","11.9","18.7","0.1","0.6","13.5"
"Matt Corral","NE","16.8","10.7","203.6","1.0","2.0","9.1","22.1","0.2","0.4","12.9"
"Dorian Thompson-Robinson","CLE","44.7","27.2","227.9","0.9","1.4","7.8","18.8","0.1","0.4","12.8"
"Tyson Bagent","CHI","24.8","15.7","178.1","1.3","2.3","10.0","25.8","0.2","0.6","12.4"
"Kyle Allen","BUF","45.3","28.1","269.6","1.1","3.0","8.0","15.9","0.1","1.2","12.3"
"Jake Browning","CIN","29.6","18.4","210.7","1.0","1.9","8.1","14.8","0.2","0.4","12.2"
"Brandon Allen","SF","20.1","9.3","53.2","3.1","3.5","13.8","6.3","0.0","0.6","10.5"
"Logan Woodside","ATL","20.8","11.6","142.5","1.1","4.1","30.3","23.0","0.1","0.9","7.1"
"David Blough","DET","20.8","11.6","122.6","1.0","4.2","30.3","22.8","0.0","0.8","5.7"
"Jake Haener","NO","16.0","9.9","102.1","0.5","1.7","10.9","14.9","0.1","0.5","5.5"
"PJ Walker","CLE","32.6","13.7","148.7","0.7","5.4","20.0","24.4","0.0","0.5","4.8"
"Hendon Hooker","DET","33.5","19.4","175.0","0.0","4.7","18.9","37.5","0.2","1.3","4.7"
"Jaren Hall","MIN","18.5","11.4","82.9","0.4","1.6","10.9","14.8","0.1","0.4","4.2"
"John Wolford","TB","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","4.2"
"Will Grier","CIN","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","4.2"
"Mason Rudolph","PIT","10.0","7.0","28.2","0.6","0.5","17.1","11.2","0.0","0.0","4.1"
"Case Keenum","HOU","0.0","0.0","67.3","0.4","0.5","0.0","0.1","0.0","0.1","3.9"
"Tanner McKee","PHI","8.0","5.0","50.1","0.4","1.5","11.8","16.8","0.1","0.4","3.2"
"Nathan Peterman","CHI","20.8","11.6","62.0","0.9","4.3","30.3","22.7","0.1","0.8","3.0"
"Sam Ehlinger","IND","20.8","11.6","65.7","0.8","3.7","30.3","22.3","0.0","0.8","2.9"
"Skylar Thompson","MIA","0.0","0.0","17.5","0.9","3.6","33.4","24.4","0.0","0.8","1.8"
"Malik Cunningham","NE","16.9","9.8","87.4","0.0","4.6","20.7","40.8","0.2","1.3","1.6"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Jeff Driskel","ARI","11.6","8.4","60.1","0.4","2.8","0.0","0.0","0.0","0.0","1.2"
""
""
