NO.,Player,ROUND,Manager
136,"Harrison Butker KC, K",17,Buffalo Brown AshPandas
137,"Saints D/ST NO, D/ST",18,Buffalo Brown AshPandas
7,"Ja'Marr Chase Cin, WR",1,Gentle Minyans
10,"Justin Herbert LAC, QB",2,Gentle Minyans
23,"Nick Chubb Cle, RB",3,Gentle Minyans
26,"Josh Jacobs LV, RB",4,Gentle Minyans
39,"T.J. Hockenson Min, TE",5,Gentle Minyans
42,"Deebo Samuel SF, WR",6,Gentle Minyans
55,"Dak Prescott Dal, QB",7,Gentle Minyans
58,"Diontae Johnson Pit, WR",8,Gentle Minyans
71,"Mike Evans TB, WR",9,Gentle Minyans
74,"Terry McLaurin Wsh, WR",10,Gentle Minyans
87,"Isiah Pacheco KC, RB",11,Gentle Minyans
90,"49ers D/ST SF, D/ST",12,Gentle Minyans
103,"Derek Carr NO, QB",13,Gentle Minyans
106,"Jakobi Meyers LV, WR",14,Gentle Minyans
119,"Rashaad Penny Phi, RB",15,Gentle Minyans
122,"Pat Freiermuth Pit, TE",16,Gentle Minyans
135,"Odell Beckham Jr. Bal, WR",17,Gentle Minyans
138,"Daniel Carlson LV, K",18,Gentle Minyans
1,"Patrick Mahomes KC, QB",1,Baby Chargers
16,"Tony Pollard Dal, RB",2,Baby Chargers
17,"Amon-Ra St. Brown Det, WR",3,Baby Chargers
32,"Keenan Allen LAC, WR",4,Baby Chargers
33,"DeVonta Smith Phi, WR",5,Baby Chargers
49,"Geno Smith Sea, QB",7,Baby Chargers
56,"Mike Williams LAC, WR",7,Baby Chargers
57,"Tyler Lockett Sea, WR",8,Baby Chargers
64,"Alexander Mattison Min, RB",8,Baby Chargers
65,"Rachaad White TB, RB",9,Baby Chargers
80,"Russell Wilson Den, QB",10,Baby Chargers
96,"Jordan Addison Min, WR",12,Baby Chargers
97,"Antonio Gibson Wsh, RB",13,Baby Chargers
112,"Quentin Johnston LAC, WR",14,Baby Chargers
113,"Samaje Perine Den, RB",15,Baby Chargers
128,"Dalton Schultz Hou, TE",16,Baby Chargers
132,"Cameron Dicker LAC, K",17,Baby Chargers
141,"Commanders D/ST Wsh, D/ST",18,Baby Chargers
