"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"David Montgomery","DET","RB24","191.8","765.2","6.1","33.4","271.4","1.1","1.0","178.4"
"Jahan Dotson","WAS","WR35","2.9","10.6","0.1","60.1","830.0","5.6","0.2","178.2"
"Isiah Pacheco","KC","RB25","194.2","933.6","6.4","24.4","198.7","0.7","1.9","176.3"
"Alvin Kamara","NO","RB26","171.4","701.2","3.5","41.8","359.5","1.7","1.2","176.3"
"Javonte Williams","DEN","RB27","173.3","801.7","4.7","37.0","253.2","1.4","1.5","175.9"
"George Kittle","SF","TE5","0.0","4.3","0.0","61.3","786.9","5.9","0.5","175.1"
"Cam Akers","LAR","RB28","229.4","954.7","6.1","24.0","193.9","0.6","2.1","174.7"
"George Pickens","PIT","WR36","2.6","17.1","0.4","57.7","836.3","4.9","0.2","174.4"
"JuJu Smith-Schuster","NE","WR37","0.1","0.9","0.0","72.8","778.0","3.6","0.7","171.1"
"Brandin Cooks","DAL","WR38","2.9","18.6","0.1","62.4","790.4","4.5","0.1","170.8"
"Jonathan Taylor","IND","RB29","195.4","937.1","5.7","24.8","171.0","0.6","1.6","170.5"
"Courtland Sutton","DEN","WR39","0.4","2.5","0.0","62.4","811.2","4.2","0.1","168.6"
"Gabe Davis","BUF","WR40","0.0","0.7","0.0","51.6","804.9","6.1","0.4","168.1"
"Michael Thomas","NO","WR41","0.3","1.1","0.0","67.5","742.4","4.4","0.2","167.8"
"Jordan Addison","MIN","WR42","2.3","12.9","0.1","60.5","779.5","4.6","0.7","166.4"
"Dallas Goedert","PHI","TE6","0.0","0.4","0.0","63.5","741.6","4.2","0.6","161.9"
"D'Andre Swift","PHI","RB30","115.2","541.7","4.5","40.0","319.5","1.7","0.8","161.7"
"Treylon Burks","TEN","WR43","6.5","48.9","0.1","57.6","753.3","3.9","0.2","161.3"
"Kyle Pitts","ATL","TE7","0.0","0.5","0.0","59.1","780.4","3.9","0.1","160.7"
"Raheem Mostert","MIA","RB31","158.7","779.1","4.3","30.8","204.9","1.2","1.0","160.3"
"Jakobi Meyers","LV","WR44","1.1","3.7","0.0","62.6","724.7","3.6","0.7","156.0"
"Antonio Gibson","WAS","RB32","138.2","554.0","3.5","42.6","304.0","1.4","1.0","155.6"
"Dalvin Cook","NYJ","RB33","177.5","759.9","4.6","28.1","204.1","1.0","1.5","155.2"
"Jaxon Smith-Njigba","SEA","WR45","1.0","7.7","0.0","56.2","740.2","4.2","0.7","155.0"
"Zay Flowers","BAL","WR46","1.9","14.0","0.1","55.0","723.0","4.5","0.7","154.8"
"AJ Dillon","GB","RB34","165.8","716.1","5.4","24.8","190.4","0.7","0.6","150.7"
"Khalil Herbert","CHI","RB35","168.8","831.5","4.8","21.1","137.7","0.7","0.4","150.6"
"Nico Collins","HOU","WR47","0.0","0.2","0.0","57.4","711.9","3.7","0.1","150.4"
"Evan Engram","JAC","TE8","0.0","5.8","0.0","62.6","653.9","3.6","0.2","150.1"
"Tyler Boyd","CIN","WR48","1.4","8.1","0.0","58.0","684.7","3.6","0.2","149.0"
"Skyy Moore","KC","WR49","5.2","33.8","0.2","57.1","652.1","4.3","1.9","148.9"
"Pat Freiermuth","PIT","TE9","0.0","0.4","0.0","60.3","640.0","4.1","0.2","148.6"
"Zay Jones","JAC","WR50","1.8","8.0","0.0","61.3","637.6","3.8","0.2","148.4"
"Allen Lazard","NYJ","WR51","2.0","11.4","0.0","54.5","664.1","4.2","0.1","147.4"
